"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","PRD-11: Find Product by SKU","","2026-06-29","passed","2026-06-29","Product CRUD Flow","api/product/product-crud.spec.ts","",""
"","262","PRD-04: Create Product - Duplicate Name","","2026-06-29","passed","2026-06-29","Product CRUD Flow","api/product/product-crud.spec.ts","",""
"","280","TRX-09: Find One Transaction (Kasir - Own)","","2026-06-29","passed","2026-06-29","Transaction Flow","api/transaction/transaction-flow.spec.ts","",""
"","262","CAT-06: Find One Category","","2026-06-29","passed","2026-06-29","Category CRUD Flow","api/category/category-crud.spec.ts","",""
"","243","TRX-11: Admin Cannot Create Transaction","","2026-06-29","passed","2026-06-29","Transaction Flow","api/transaction/transaction-flow.spec.ts","",""
"","247","AUTH-17: Forgot password with email invalid format","","2026-06-29","passed","2026-06-29","Auth flow: Forgot & Reset Password","api/auth/forgot-password.spec.ts","",""
"","284","TRX-06: Find All Transactions (Kasir - Own Only)","","2026-06-29","passed","2026-06-29","Transaction Flow","api/transaction/transaction-flow.spec.ts","",""
"","264","PRD-15: Delete Product (Soft Delete) - Success","","2026-06-29","passed","2026-06-29","Product CRUD Flow","api/product/product-crud.spec.ts","",""
"","885","PRD-16: Cashier Can Read but Cannot Create Product","","2026-06-29","passed","2026-06-29","Product CRUD Flow","api/product/product-crud.spec.ts","",""
"","266","CAT-02: Create Category - Success","","2026-06-29","passed","2026-06-29","Category CRUD Flow","api/category/category-crud.spec.ts","",""
"","244","USR-02: Create User - Validation Error (Empty Body)","","2026-06-29","passed","2026-06-29","User CRUD Flow","api/user/user-crud.spec.ts","",""
"","282","PRD-06: Find All Products","","2026-06-29","passed","2026-06-29","Product CRUD Flow","api/product/product-crud.spec.ts","",""
"","290","TRX-05: Find All Transactions (Admin)","","2026-06-29","passed","2026-06-29","Transaction Flow","api/transaction/transaction-flow.spec.ts","",""
"","262","RPT-02: Get Sales Summary with Date Filter","","2026-06-29","passed","2026-06-29","Report Flow","api/report/report.spec.ts","",""
"","373","USR-01: Admin Login (Setup)","","2026-06-29","passed","2026-06-29","User CRUD Flow","api/user/user-crud.spec.ts","",""
"","268","NTF-04: Mark All Notifications as Read","","2026-06-29","passed","2026-06-29","Notification Flow","api/notification/notification.spec.ts","",""
"","282","CAT-11: Delete Category (Soft Delete) - Success","","2026-06-29","passed","2026-06-29","Category CRUD Flow","api/category/category-crud.spec.ts","",""
"","263","CAT-05: Find All Categories - Search","","2026-06-29","passed","2026-06-29","Category CRUD Flow","api/category/category-crud.spec.ts","",""
"","611","USR-13: Cashier Cannot Access User Endpoints","","2026-06-29","passed","2026-06-29","User CRUD Flow","api/user/user-crud.spec.ts","",""
"","262","AUTH-09: Get profile valid","","2026-06-29","passed","2026-06-29","Auth flow: Profile","api/auth/profile.spec.ts","",""
"","244","PRD-02: Create Product - Business Rule (basePrice < costPrice)","","2026-06-29","passed","2026-06-29","Product CRUD Flow","api/product/product-crud.spec.ts","",""
"","263","USR-10: Update User - Not Found","","2026-06-29","passed","2026-06-29","User CRUD Flow","api/user/user-crud.spec.ts","",""
"","268","PRD-03: Create Product - Success","","2026-06-29","passed","2026-06-29","Product CRUD Flow","api/product/product-crud.spec.ts","",""
"","262","RPT-03: Get Sales Summary filtered by Cashier","","2026-06-29","passed","2026-06-29","Report Flow","api/report/report.spec.ts","",""
"","287","AUTH-07: Logout valid","","2026-06-29","passed","2026-06-29","Auth flow: Token & Session","api/auth/token.spec.ts","",""
"","265","USR-11: Delete User (Soft Delete) - Success","","2026-06-29","passed","2026-06-29","User CRUD Flow","api/user/user-crud.spec.ts","",""
"","281","TRX-02: Create Transaction - Insufficient Payment","","2026-06-29","passed","2026-06-29","Transaction Flow","api/transaction/transaction-flow.spec.ts","",""
"","281","RPT-01: Get Sales Summary (Admin)","","2026-06-29","passed","2026-06-29","Report Flow","api/report/report.spec.ts","",""
"","243","AUTH-20: Reset password - token empty","","2026-06-29","passed","2026-06-29","Auth flow: Forgot & Reset Password","api/auth/forgot-password.spec.ts","",""
"","247","PRD-01: Create Product - Validation Error (Empty Body)","","2026-06-29","passed","2026-06-29","Product CRUD Flow","api/product/product-crud.spec.ts","",""
"","282","TRX-08: Find One Transaction (Admin)","","2026-06-29","passed","2026-06-29","Transaction Flow","api/transaction/transaction-flow.spec.ts","",""
"","261","CAT-07: Find One Category - Not Found","","2026-06-29","passed","2026-06-29","Category CRUD Flow","api/category/category-crud.spec.ts","",""
"","261","USR-08: Find One User - Not Found","","2026-06-29","passed","2026-06-29","User CRUD Flow","api/user/user-crud.spec.ts","",""
"","247","AUTH-12: Update profile invalid","","2026-06-29","passed","2026-06-29","Auth flow: Profile","api/auth/profile.spec.ts","",""
"","263","NTF-01: Get Notifications","","2026-06-29","passed","2026-06-29","Notification Flow","api/notification/notification.spec.ts","",""
"","522","NTF-03: Mark Notification as Read","","2026-06-29","passed","2026-06-29","Notification Flow","api/notification/notification.spec.ts","",""
"","245","AUTH-14: Change password - confirmation not match","","2026-06-29","passed","2026-06-29","Auth flow: Profile","api/auth/profile.spec.ts","",""
"","281","PRD-07: Find All Products - Search by Name","","2026-06-29","passed","2026-06-29","Product CRUD Flow","api/product/product-crud.spec.ts","",""
"","274","USR-05: Find All Users","","2026-06-29","passed","2026-06-29","User CRUD Flow","api/user/user-crud.spec.ts","",""
"","350","AUTH-13: Change password - old password wrong","","2026-06-29","passed","2026-06-29","Auth flow: Profile","api/auth/profile.spec.ts","",""
"","264","RPT-06: Get Top Selling Products - Search & Sort","","2026-06-29","passed","2026-06-29","Report Flow","api/report/report.spec.ts","",""
"","267","USR-09: Update User - Success","","2026-06-29","passed","2026-06-29","User CRUD Flow","api/user/user-crud.spec.ts","",""
